LogNumShots	NumShots	Mean_ns	CI95_ns	Min_ns	Max_ns
32	1	9468.8	1739.54	8224	17408
64	1	9612.8	2590.56	8192	21504
128	1	8531.2	181.347	8192	9088
256	1	8422.4	164.566	8064	8800
512	1	12208	3690.49	8192	24576
1024	1	11801.6	3199.26	7904	24256
2048	1	8547.2	245.322	8192	9152
4096	1	8659.2	237.675	8192	9184
8192	1	9872	2097.37	8320	19456
16384	1	9372.8	148.555	9056	9856
32768	1	7616	456.991	6976	9536
65536	1	9136	952.264	8160	13312
131072	1	12169.6	105.387	11808	12288
262144	1	18883.2	671	17408	21504
524288	1	31894.4	711.629	29696	34368
1048576	1	59040	1557.99	56320	65280
2097152	1	116992	7876.69	108544	148480
4194304	1	222509	3547.08	212992	232448
8388608	1	429904	3230.54	421888	439296
16777216	1	895520	55253.1	845824	1.10592e+06
33554432	1	1.79308e+06	86736.3	1.67731e+06	2.11354e+06
67108864	1	3.56915e+06	94811.9	3.35258e+06	3.77536e+06
134217728	1	7.20156e+06	73384.8	7.0656e+06	7.48915e+06
268435456	1	1.44916e+07	123319	1.42326e+07	1.48224e+07
