LogNumShots	NumShots	Mean_ns	CI95_ns	Min_ns	Max_ns
32	1	2450	856.465	1700	6200
64	1	3750	614.446	2900	5900
128	1	5920	2988.64	3700	18400
256	1	9040	4421.02	4700	25800
512	1	11540	9868.98	6100	56800
1024	1	17050	2639.54	9700	23100
2048	1	20790	4846.35	13900	41500
4096	1	24660	3184.11	17900	31200
8192	1	34950	2001.22	29600	40200
16384	1	50240	1491.6	46900	53300
32768	1	80970	6819.44	73900	111100
65536	1	137440	14336.1	95300	178200
131072	1	218440	13120.6	189100	254300
262144	1	398750	19053.5	326200	427600
524288	1	919050	25850.1	840700	967600
1048576	1	2.711e+06	513685	1.8669e+06	4.1818e+06
2097152	1	4.47016e+06	340659	3.8432e+06	5.5868e+06
4194304	1	9.73544e+06	1.22322e+06	8.3563e+06	1.3746e+07
8388608	1	1.76144e+07	382883	1.67256e+07	1.85174e+07
16777216	1	3.43164e+07	98363.2	3.40137e+07	3.46323e+07
33554432	1	6.68449e+07	1.93185e+06	6.15177e+07	6.94841e+07
67108864	1	1.23652e+08	293829	1.22967e+08	1.24195e+08
134217728	1	2.46147e+08	698578	2.44281e+08	2.47944e+08
268435456	1	4.93726e+08	878150	4.91962e+08	4.95866e+08
