LogNumShots	NumShots	Mean_ns	CI95_ns	Min_ns	Max_ns
32	1	240	32.0067	200	300
64	1	500	0	500	500
128	1	960	32.0067	900	1000
256	1	3280	2770.44	1800	16000
512	1	3660	43.3372	3600	3800
1024	1	11260	3939.57	7200	22300
2048	1	18730	4833.35	14300	37300
4096	1	29100	275.642	28600	29600
8192	1	58130	608.021	57200	59100
16384	1	115020	739.624	114300	117500
32768	1	252290	14664.6	228600	291400
65536	1	464830	10094.8	444200	492400
131072	1	918110	18652	888600	978900
262144	1	1.87265e+06	33293.4	1.8098e+06	1.9802e+06
524288	1	4.19004e+06	135708	3.8679e+06	4.5427e+06
1048576	1	1.12438e+07	423470	1.01478e+07	1.2365e+07
2097152	1	1.74648e+07	493716	1.63705e+07	1.91963e+07
4194304	1	3.32148e+07	405994	3.22181e+07	3.43258e+07
8388608	1	6.32664e+07	1.71626e+06	6.14049e+07	6.95236e+07
16777216	1	1.2344e+08	543691	1.22639e+08	1.25727e+08
33554432	1	2.46021e+08	494008	2.44705e+08	2.47407e+08
67108864	1	4.93442e+08	820616	4.9173e+08	4.96521e+08
134217728	1	9.86552e+08	1.14599e+06	9.83674e+08	9.89822e+08
268435456	1	2.00712e+09	5.1244e+07	1.96219e+09	2.16479e+09
