LogNumShots	NumShots	Mean_ns	CI95_ns	Min_ns	Max_ns
32	1	15795.2	3807.69	8288	24576
64	1	13513.6	4813.59	3072	27296
128	1	7894.4	848.051	4096	8768
256	1	7881.6	830.5	4096	8736
512	1	7897.6	844.578	4096	8704
1024	1	13379.2	5017.93	4096	30176
2048	1	8211.2	927.285	4096	9216
4096	1	8233.6	938.756	4096	9216
8192	1	8227.2	1130.33	3072	9120
16384	1	8700.8	1045.23	4096	10208
32768	1	7772.8	810.707	6144	10240
65536	1	8585.6	613.606	7168	10912
131072	1	11401.6	669.017	10240	14336
262144	1	17360	777.787	15360	20480
524288	1	28774.4	769.967	26624	31744
1048576	1	51312	781.487	49152	54272
2097152	1	99270.4	5201.1	94208	122880
4194304	1	194512	1389.82	193056	200704
8388608	1	370627	2151.3	365568	378880
16777216	1	747904	27716.1	727040	874496
33554432	1	1.50277e+06	60522.6	1.44896e+06	1.74749e+06
67108864	1	3.00612e+06	83310.6	2.89485e+06	3.20285e+06
134217728	1	6.06863e+06	54548.7	5.92282e+06	6.24288e+06
268435456	1	1.23195e+07	133172	1.1948e+07	1.25561e+07
