LogNumShots	NumShots	Mean_ns	CI95_ns	Min_ns	Max_ns
5	32	1220	205.861	1000	3200
6	64	3470	910.16	2000	8500
7	128	7720	3999.29	3000	43200
8	256	7010	1993.8	3500	17900
9	512	5605	1010.52	4400	13100
10	1024	12765	3723	5700	38600
11	2048	14745	1075.09	11100	18700
12	4096	25430	3294.17	15500	40800
13	8192	26240	2017.81	19000	37900
14	16384	38565	3280.92	30100	58500
15	32768	49920	1587.26	42100	54700
16	65536	77225	6347.32	65400	127500
17	131072	120625	1674.74	111800	133200
18	262144	228770	11864.1	211200	297600
19	524288	402990	5699.72	393000	441800
20	1048576	788070	9883.97	772500	878000
21	2097152	2.73808e+06	461628	1.6923e+06	4.9793e+06
22	4194304	4.24518e+06	336008	3.501e+06	6.3733e+06
23	8388608	7.17305e+06	33631.7	7.083e+06	7.3723e+06
24	16777216	1.42878e+07	49561.8	1.40957e+07	1.45127e+07
25	33554432	2.87119e+07	167971	2.83966e+07	3.00909e+07
26	67108864	5.7224e+07	220373	5.67794e+07	5.90119e+07
27	134217728	1.13871e+08	371203	1.1294e+08	1.16476e+08
28	268435456	2.2804e+08	519887	2.26526e+08	2.30933e+08
