LogNumShots	NumShots	Mean_ns	CI95_ns	Min_ns	Max_ns
5	32	130	29.9395	100	200
6	64	250	32.6667	200	300
7	128	450	32.6667	400	500
8	256	890	19.6	800	900
9	512	1760	32.0067	1700	1800
10	1024	3460	32.0067	3400	3500
11	2048	6920	39.2	6800	7000
12	4096	13810	19.6	13800	13900
13	8192	27710	68.21	27600	27900
14	16384	55300	264.58	55100	56500
15	32768	116400	8066.85	110300	146900
16	65536	236550	7367.05	216300	245400
17	131072	441780	10157.6	427800	472800
18	262144	879490	15174	854800	924800
19	524288	1.91097e+06	157645	1.7536e+06	2.5516e+06
20	1048576	3.61987e+06	62344.7	3.487e+06	3.7654e+06
21	2097152	7.19089e+06	60733.4	7.084e+06	7.3899e+06
22	4194304	1.43066e+07	59412	1.42001e+07	1.45151e+07
23	8388608	2.84922e+07	59292.7	2.83461e+07	2.86286e+07
24	16777216	5.73876e+07	193262	5.69778e+07	5.80247e+07
25	33554432	1.15084e+08	213039	1.14664e+08	1.15755e+08
26	67108864	2.29082e+08	577894	2.27753e+08	2.30715e+08
27	134217728	4.62634e+08	9.84632e+06	4.56751e+08	5.07805e+08
28	268435456	9.15588e+08	1.14304e+06	9.12924e+08	9.18284e+08
