LogNumShots	NumShots	Mean_ns	CI95_ns	Min_ns	Max_ns
5	32	8812.8	124.562	8416	9216
6	64	11606.4	3894.18	8384	47968
7	128	8888	111.63	8480	9216
8	256	10360	1117.35	8544	17408
9	512	18924.8	4353.58	8384	32768
10	1024	10304	1385.44	8512	19456
11	2048	9264	1091.66	8064	19712
12	4096	8761.6	174.136	8096	9216
13	8192	9048	161.764	8192	9760
14	16384	16580.8	4542.69	6144	42624
15	32768	14963.2	3409.04	7168	26624
16	65536	12630.4	2673.96	8192	29216
17	131072	14534.4	722.185	12160	17408
18	262144	27518.4	3428.38	17408	41984
19	524288	38123.2	3700.05	31744	57344
20	1048576	60950.4	772.998	56320	63488
21	2097152	117958	3565.29	109568	148160
22	4194304	235619	16019.3	216064	385024
23	8388608	459026	23199.3	425984	637952
24	16777216	917883	57053.2	848864	1.28922e+06
25	33554432	1.81437e+06	68528.8	1.69213e+06	2.13914e+06
26	67108864	3.60476e+06	83147.2	3.40992e+06	3.93728e+06
27	134217728	7.38204e+06	58533.1	7.30317e+06	7.81005e+06
28	268435456	1.37685e+07	13356.3	1.36684e+07	1.37943e+07
