LogNumShots	NumShots	Mean_ns	CI95_ns	Min_ns	Max_ns
5	32	2035	813.027	1500	9900
6	64	2540	358.147	2300	6000
7	128	4555	262.375	3800	6100
8	256	5690	714.781	4800	10800
9	512	10145	848.225	7800	12500
10	1024	11200	1689.29	8900	24400
11	2048	14820	170.395	14500	16100
12	4096	24330	511.521	19800	26500
13	8192	43985	1175.68	32900	46800
14	16384	79820	4228.16	57200	95000
15	32768	80590	5106.7	65200	113300
16	65536	172820	22292.4	120400	305300
17	131072	237445	3754.48	224100	264400
18	262144	520375	29026	443800	650900
19	524288	1.48762e+06	142681	1.1137e+06	2.2215e+06
20	1048576	5.56626e+06	982909	2.3518e+06	1.21938e+07
21	2097152	8.82112e+06	966217	5.7079e+06	1.41645e+07
22	4194304	1.3243e+07	1.28564e+06	8.3881e+06	2.09183e+07
23	8388608	1.65571e+07	468134	1.54795e+07	1.93385e+07
24	16777216	3.14368e+07	218144	3.08092e+07	3.28445e+07
25	33554432	6.20329e+07	223642	6.14004e+07	6.35158e+07
26	67108864	1.24035e+08	405517	1.2317e+08	1.2682e+08
27	134217728	2.48324e+08	454216	2.4708e+08	2.51244e+08
28	268435456	4.96438e+08	909666	4.93162e+08	5.00876e+08
