LogNumShots	NumShots	Mean_ns	CI95_ns	Min_ns	Max_ns
5	32	256	9.7782	200	300
6	64	488	6.40133	400	500
7	128	960	10.0444	900	1100
8	256	1875	8.9732	1800	2000
9	512	3745	10.1883	3700	3900
10	1024	7473	14.1653	7400	7700
11	2048	14960	25.5325	14800	15600
12	4096	29976	45.9551	29700	30800
13	8192	60149	1012.05	57800	86300
14	16384	116247	735.818	115600	153400
15	32768	231353	650.95	230700	264200
16	65536	451370	1999.14	449500	546600
17	131072	905645	2812.49	899000	966700
18	262144	1.80764e+06	3678.76	1.7987e+06	1.8793e+06
19	524288	3.67445e+06	7513.77	3.6497e+06	3.859e+06
20	1048576	7.39002e+06	10117.8	7.3413e+06	7.6703e+06
21	2097152	1.48498e+07	25112.3	1.47101e+07	1.53235e+07
22	4194304	2.97463e+07	43850.5	2.9534e+07	3.06241e+07
23	8388608	5.95435e+07	46066.5	5.93147e+07	6.05492e+07
24	16777216	1.19227e+08	79026.8	1.18855e+08	1.2108e+08
25	33554432	2.39715e+08	357556	2.38543e+08	2.50542e+08
26	67108864	4.7865e+08	280232	4.77547e+08	4.87227e+08
27	134217728	9.54265e+08	258133	9.52245e+08	9.6057e+08
28	268435456	1.90971e+09	1.65863e+06	1.90574e+09	1.96911e+09
