LogNumShots	NumShots	Mean_ns	CI95_ns	Min_ns	Max_ns
5	32	30011.2	1758.15	24768	66688
6	64	10479.7	224.083	8288	13664
7	128	8436.16	207.894	7168	17920
8	256	8051.2	104.198	7168	10720
9	512	8152.64	100.169	7104	10240
10	1024	8312.32	79.4509	7168	9216
11	2048	8240	71.3922	7168	9056
12	4096	8378.88	86.0422	7712	9216
13	8192	8361.92	80.9451	7168	9216
14	16384	8795.84	82.8181	7936	9216
15	32768	9761.92	87.8976	8960	10752
16	65536	10939.5	76.8471	10208	12000
17	131072	13734.4	150.678	13088	20096
18	262144	20760	774.022	15360	44032
19	524288	30248.3	128.05	26624	31264
20	1048576	52783.4	142.102	49152	53824
21	2097152	98015.4	112.949	94208	99040
22	4194304	188778	382.848	184320	196128
23	8388608	369155	324.268	364544	379616
24	16777216	735741	207.204	732160	742144
25	33554432	1.46384e+06	282.78	1.45818e+06	1.47149e+06
26	67108864	2.92276e+06	3506.52	2.91328e+06	3.06048e+06
27	134217728	5.83466e+06	3411.47	5.82448e+06	5.96378e+06
28	268435456	1.16636e+07	5769.06	1.16388e+07	1.18958e+07
