LogNumShots	NumShots	Mean_ns	CI95_ns	Min_ns	Max_ns
5	32	2184	501.005	1000	15700
6	64	3669	364.461	1900	8300
7	128	6342	582.844	3000	15800
8	256	6823	846.669	3400	16700
9	512	9519	651.625	6000	16300
10	1024	14749	602.965	8800	29800
11	2048	15912	423.741	10400	20900
12	4096	24060	597.064	16100	27800
13	8192	28682	598.954	19700	33200
14	16384	33568	1393.4	23100	91400
15	32768	46855	911.604	34600	53400
16	65536	71406	682.344	61100	76500
17	131072	118322	607.243	104900	121700
18	262144	206269	972.131	199800	242900
19	524288	385890	503.853	381200	397400
20	1048576	779591	782.182	768500	792700
21	2097152	1.67026e+06	2087.47	1.6571e+06	1.735e+06
22	4194304	3.4872e+06	6189.26	3.4606e+06	3.6594e+06
23	8388608	7.00962e+06	11074.6	6.9651e+06	7.4011e+06
24	16777216	1.40649e+07	21869.9	1.39815e+07	1.4814e+07
25	33554432	2.81777e+07	30952.5	2.80391e+07	2.89907e+07
26	67108864	5.62112e+07	60037.9	5.58966e+07	5.71411e+07
27	134217728	1.12864e+08	254548	1.12147e+08	1.24384e+08
28	268435456	2.25988e+08	172602	2.2452e+08	2.29101e+08
