LogNumShots	NumShots	Mean_ns	CI95_ns	Min_ns	Max_ns
5	32	130	20.6058	100	200
6	64	225	19.4706	200	300
7	128	465	21.4472	400	500
8	256	940	22.0285	900	1000
9	512	1850	26.6019	1800	2000
10	1024	3830	308.956	3500	6800
11	2048	7190	31.4758	7100	7300
12	4096	14650	1245.67	13800	26700
13	8192	28995	203.826	28500	30800
14	16384	57600	229.72	56900	59200
15	32768	116210	353.458	115000	118000
16	65536	238720	12453.6	221700	349700
17	131072	472340	8202.11	455000	532600
18	262144	1.03758e+06	85659.7	919300	1.6814e+06
19	524288	1.92542e+06	58017.1	1.8094e+06	2.257e+06
20	1048576	4.81972e+06	297271	3.8901e+06	6.2871e+06
21	2097152	7.97838e+06	117570	7.5957e+06	8.4375e+06
22	4194304	1.55229e+07	275255	1.44095e+07	1.64144e+07
23	8388608	2.92449e+07	100115	2.8926e+07	2.99019e+07
24	16777216	5.83634e+07	136612	5.79996e+07	5.91137e+07
25	33554432	1.17423e+08	221456	1.16668e+08	1.18755e+08
26	67108864	2.36802e+08	3.83538e+06	2.3255e+08	2.68565e+08
27	134217728	4.6783e+08	380206	4.66635e+08	4.69327e+08
28	268435456	9.35876e+08	1.12591e+06	9.32713e+08	9.45099e+08
