Qubits	NumStates	Mean_ns	CI95_ns	Min_ns	Max_ns
1	2	38508.8	5567.19	26016	67584
2	4	8667.2	1049.59	7328	18560
3	8	34091.2	3682.82	25408	54272
4	16	8211.2	303.037	7552	10208
5	32	10129.6	2116.06	7488	24576
6	64	8025.6	262.716	7168	10176
7	128	9454.4	2095.68	7168	24160
8	256	10956.8	2600.44	7584	24480
9	512	39667.2	7217.44	25632	74272
10	1024	8192	293.019	7168	10112
11	2048	7910.4	140.217	7168	8224
12	4096	38726.4	5476.13	25792	66880
13	8192	32091.2	3090.96	25632	40960
14	16384	8604.8	159.769	7808	9088
15	32768	9195.2	81.9381	8768	9760
16	65536	9742.4	642.39	8064	11744
17	131072	29371.2	2001.45	23552	41984
18	262144	46580.8	565.511	44032	48128
19	524288	87985.6	1685.39	82944	97280
20	1048576	180302	3121.03	160768	196608
21	2097152	327301	2890.64	317440	341504
22	4194304	644350	6426.98	626688	684032
23	8388608	1.26582e+06	6713.92	1.24989e+06	1.30253e+06
24	16777216	2.55316e+06	27267	2.51187e+06	2.72282e+06
25	33554432	5.04823e+06	7320.25	5.01523e+06	5.0729e+06
26	67108864	1.00834e+07	8303.8	1.00526e+07	1.01151e+07
