Qubits	NumStates	Mean_ns	CI95_ns	Min_ns	Max_ns
1	2	20	17.9862	0	100
2	4	25	19.4706	0	100
3	8	865	829.522	400	8900
4	16	860	602.839	500	6700
5	32	1450	796.092	800	8900
6	64	3025	1771.83	1300	15400
7	128	5705	980.977	2400	11400
8	256	7290	2388.55	3900	22200
9	512	13970	1523.14	7800	20400
10	1024	11595	922.667	7800	13800
11	2048	11910	827.402	8200	14200
12	4096	12455	869.995	8500	14800
13	8192	13975	892.752	10800	16500
14	16384	15875	1016.15	10700	18900
15	32768	17700	1280.29	12700	21700
16	65536	25280	1413.56	19100	29900
17	131072	51320	6943.89	34200	72900
18	262144	97010	9163.76	64900	137600
19	524288	338935	7009.14	311300	362500
20	1048576	915930	51494.7	770100	1.2732e+06
21	2097152	1.95877e+06	71800.8	1.7489e+06	2.5245e+06
22	4194304	3.64109e+06	72062.4	3.4418e+06	3.9696e+06
23	8388608	7.29126e+06	60487.6	7.133e+06	7.7255e+06
24	16777216	1.40927e+07	78061.8	1.39382e+07	1.46188e+07
25	33554432	2.81566e+07	94146.6	2.79192e+07	2.87523e+07
26	67108864	5.64458e+07	98845	5.62042e+07	5.69633e+07
