Qubits	NumStates	Mean_ns	CI95_ns	Min_ns	Max_ns
1	2	35	21.4472	0	100
2	4	30	20.6058	0	100
3	8	20	17.9862	0	100
4	16	30	20.6058	0	100
5	32	30	20.6058	0	100
6	64	65	21.4472	0	100
7	128	105	9.8	100	200
8	256	190	13.4896	100	200
9	512	355	22.37	300	400
10	1024	675	19.4706	600	700
11	2048	1305	9.8	1300	1400
12	4096	4720	2066.53	2600	16700
13	8192	5215	21.4472	5100	5300
14	16384	10560	26.2192	10500	10700
15	32768	22835	1956.3	21600	41700
16	65536	47665	2569.23	42400	65900
17	131072	108560	6818.32	89100	144600
18	262144	346715	22872.1	253700	416900
19	524288	637765	47850.7	511600	875400
20	1048576	1.11699e+06	78722.1	1.044e+06	1.8178e+06
21	2097152	3.31218e+06	284923	2.56e+06	4.9369e+06
22	4194304	4.97226e+06	74119.5	4.7667e+06	5.5569e+06
23	8388608	1.00528e+07	176599	9.5969e+06	1.12809e+07
24	16777216	2.02943e+07	89763.9	1.99441e+07	2.07236e+07
25	33554432	3.97727e+07	141891	3.93882e+07	4.09233e+07
26	67108864	8.0214e+07	233536	7.95027e+07	8.15104e+07
