LogNumShots	NumShots	Mean_ns	CI95_ns	Min_ns	Max_ns
5	32	9905	8650.98	3800	93600
6	64	15145	1285.37	11700	24800
7	128	22570	6305.84	14500	80800
8	256	22320	1641.55	16300	29900
9	512	28500	2081.03	20700	39500
10	1024	36165	1084.52	32600	40800
11	2048	52000	3943.09	42900	84800
12	4096	81815	5401.44	71000	124600
13	8192	131595	2763.18	122900	143100
14	16384	241010	4729.08	225400	263800
15	32768	499505	66167.2	423200	992700
16	65536	2.06944e+06	173491	1.3879e+06	2.7903e+06
17	131072	3.22872e+06	176297	2.7201e+06	4.2609e+06
18	262144	5.88976e+06	893918	4.8659e+06	1.44412e+07
19	524288	7.80123e+06	272469	6.973e+06	9.5809e+06
20	1048576	1.07805e+07	170076	1.02577e+07	1.13345e+07
21	2097152	1.43849e+07	181494	1.38188e+07	1.55888e+07
22	4194304	2.25306e+07	258211	2.17525e+07	2.42633e+07
23	8388608	3.60927e+07	313880	3.51881e+07	3.84124e+07
24	16777216	6.15818e+07	439801	6.06462e+07	6.53398e+07
25	33554432	1.1375e+08	1.07716e+06	1.11928e+08	1.21514e+08
26	67108864	2.17954e+08	453153	2.16416e+08	2.21081e+08
27	134217728	4.30276e+08	1.56454e+06	4.27154e+08	4.43876e+08
28	268435456	8.54955e+08	2.1017e+06	8.51996e+08	8.74844e+08
