LogNumShots	NumShots	Mean_ns	CI95_ns	Min_ns	Max_ns
5	32	95	9.8	0	100
6	64	225	19.4706	200	300
7	128	500	14.2193	400	600
8	256	1620	1064.89	1000	11900
9	512	2110	53.0135	2000	2500
10	1024	4825	86.3466	4500	5200
11	2048	17455	504.631	15700	20300
12	4096	47590	1826.94	45100	62100
13	8192	95885	3076.94	91400	120000
14	16384	190625	4854.12	184200	224200
15	32768	387860	10902.5	372300	459700
16	65536	728835	88632.3	666500	1.5858e+06
17	131072	1.72704e+06	242803	1.3322e+06	3.2588e+06
18	262144	3.20942e+06	309932	2.6751e+06	4.9744e+06
19	524288	5.65292e+06	156425	5.4188e+06	6.8391e+06
20	1048576	1.12179e+07	123561	1.08301e+07	1.18831e+07
21	2097152	2.27257e+07	560577	2.19166e+07	2.79992e+07
22	4194304	4.49734e+07	684340	4.39668e+07	5.13206e+07
23	8388608	8.98687e+07	652070	8.83865e+07	9.50929e+07
24	16777216	1.80155e+08	1.2749e+06	1.76861e+08	1.85892e+08
25	33554432	3.61049e+08	2.23605e+06	3.56345e+08	3.72783e+08
26	67108864	7.55887e+08	3.0565e+07	7.14628e+08	9.71568e+08
27	134217728	1.45169e+09	1.51161e+07	1.43166e+09	1.56168e+09
28	268435456	2.89881e+09	3.85581e+07	2.86056e+09	3.24353e+09
