LogNumShots	NumShots	Mean_ns	CI95_ns	Min_ns	Max_ns
5	32	3121	572.494	1500	15600
6	64	4219	567.568	2200	14600
7	128	8455	621.403	5100	16400
8	256	9853	559.503	6500	16600
9	512	13702	949.463	6100	19600
10	1024	16824	588.192	9000	20200
11	2048	20679	448.823	16200	25900
12	4096	27966	667.983	20300	32300
13	8192	34878	625.804	27100	45000
14	16384	45070	833.964	35300	55400
15	32768	65556	845.19	55200	78800
16	65536	104944	809.886	90600	119200
17	131072	182557	454.16	176200	191100
18	262144	338763	933.677	328300	363700
19	524288	799582	1217.64	788800	832100
20	1048576	1.83042e+06	8646.61	1.7942e+06	2.1368e+06
21	2097152	3.80774e+06	11466.2	3.7502e+06	4.2531e+06
22	4194304	7.7395e+06	17651.5	7.5805e+06	8.1958e+06
23	8388608	1.53544e+07	22079.9	1.51277e+07	1.59229e+07
24	16777216	3.0819e+07	38873.1	3.04e+07	3.14755e+07
25	33554432	6.18523e+07	48074.8	6.1266e+07	6.25489e+07
26	67108864	1.22982e+08	76504.1	1.22188e+08	1.24573e+08
27	134217728	2.45706e+08	204137	2.43586e+08	2.50171e+08
28	268435456	4.9022e+08	255535	4.88256e+08	4.99913e+08
