LogNumShots	NumShots	Mean_ns	CI95_ns	Min_ns	Max_ns
5	32	254	9.8178	200	300
6	64	486	7.38112	400	600
7	128	946	9.8178	900	1000
8	256	1877	9.59189	1800	2000
9	512	3741	9.6885	3700	3800
10	1024	7443	12.5377	7400	7800
11	2048	14512	17.4598	14400	14900
12	4096	29016	37.6571	28800	29800
13	8192	57751	28.2036	57600	58700
14	16384	116127	652.417	115200	142700
15	32768	231327	808.704	230600	270500
16	65536	463421	2112.87	460700	543700
17	131072	904193	2803.39	898900	998500
18	262144	1.81075e+06	3992.52	1.7994e+06	1.8811e+06
19	524288	3.66391e+06	9449.47	3.6297e+06	3.8694e+06
20	1048576	7.41361e+06	22509.9	7.3253e+06	8.1526e+06
21	2097152	1.49507e+07	22239.9	1.48215e+07	1.53266e+07
22	4194304	2.98214e+07	50030.3	2.95591e+07	3.07978e+07
23	8388608	5.97019e+07	50233.2	5.94827e+07	6.07307e+07
24	16777216	1.19404e+08	96264.9	1.18948e+08	1.21144e+08
25	33554432	2.39356e+08	152811	2.38565e+08	2.43697e+08
26	67108864	4.77684e+08	449047	4.76337e+08	4.94803e+08
27	134217728	9.53716e+08	332008	9.51572e+08	9.59104e+08
28	268435456	1.90844e+09	516977	1.9048e+09	1.91574e+09
