LogNumShots	NumShots	Mean_ns	CI95_ns	Min_ns	Max_ns
5	32	9860.16	701.033	7168	29568
6	64	7852.16	149.558	6944	10208
7	128	7815.04	133.81	6880	10176
8	256	7664.96	105.786	6944	9952
9	512	7452.8	77.3906	6976	9184
10	1024	7776.96	82.6827	7168	8672
11	2048	7872.96	262.118	7168	20512
12	4096	7731.52	84.7448	7136	8192
13	8192	8749.44	740.967	7168	29696
14	16384	8140.8	49.6186	7168	8928
15	32768	9108.8	286.743	8192	22368
16	65536	10276.5	92.2138	7840	11200
17	131072	14412.5	600.714	12288	25344
18	262144	19048.6	106.893	15360	19456
19	524288	30524.2	104.031	26624	31616
20	1048576	54175.4	823.603	49152	83968
21	2097152	98192.3	144.781	93184	99328
22	4194304	188694	201.139	184320	196608
23	8388608	370034	332.871	365568	379456
24	16777216	730823	140.247	728064	732160
25	33554432	1.45395e+06	221.417	1.44998e+06	1.45795e+06
26	67108864	2.90017e+06	323.071	2.89587e+06	2.90406e+06
27	134217728	5.79675e+06	5377.02	5.78534e+06	6.04262e+06
28	268435456	1.16525e+07	6235.94	1.16326e+07	1.19027e+07
