LogNumShots	NumShots	Mean_ns	CI95_ns	Min_ns	Max_ns
5	32	134	9.33147	100	200
6	64	239	9.60806	200	300
7	128	471	8.93854	400	500
8	256	919	7.72783	900	1000
9	512	1807	8.92116	1700	2200
10	1024	3589	7.82762	3500	3700
11	2048	7126	241.559	6900	19300
12	4096	13931	23.5884	13800	14600
13	8192	29213	914.495	27700	57300
14	16384	55942	726.407	55300	90200
15	32768	110957	27.0462	110700	111400
16	65536	223476	1794.73	221000	290700
17	131072	439636	3907.29	431800	542200
18	262144	867153	2464.52	863700	963800
19	524288	1.75157e+06	10432.8	1.7291e+06	2.1552e+06
20	1048576	3.501e+06	5947.8	3.4815e+06	3.6789e+06
21	2097152	7.04011e+06	15151.2	6.982e+06	7.3827e+06
22	4194304	1.41028e+07	16997.2	1.40146e+07	1.44632e+07
23	8388608	2.82275e+07	25138	2.80954e+07	2.86762e+07
24	16777216	5.63519e+07	42230.2	5.61506e+07	5.70703e+07
25	33554432	1.12847e+08	110718	1.12368e+08	1.15254e+08
26	67108864	2.25829e+08	129776	2.24993e+08	2.27726e+08
27	134217728	4.52557e+08	1.02428e+06	4.50241e+08	4.89151e+08
28	268435456	9.03987e+08	694447	9.01148e+08	9.32037e+08
