LogNumShots	NumShots	Mean_ns	CI95_ns	Min_ns	Max_ns
5	32	7563.52	79.4929	6848	8192
6	64	7628.8	131.961	7072	12736
7	128	7582.4	76.3926	7040	8192
8	256	7866.24	367.404	7104	21664
9	512	7600.64	89.819	6944	9280
10	1024	7609.28	86.2893	7136	9216
11	2048	7622.72	97.8675	6944	10016
12	4096	7592.96	78.5959	7104	9216
13	8192	7796.16	91.9662	7168	10240
14	16384	8252.8	74.4278	7168	10752
15	32768	10710.7	953.276	8800	37824
16	65536	11329	115.902	8192	13312
17	131072	21906.9	130.38	17408	23552
18	262144	36461.1	488.424	31744	51104
19	524288	62935.4	500.146	58368	77664
20	1048576	116714	403.321	112640	123584
21	2097152	225063	909.437	220160	243712
22	4194304	440037	1309.67	431808	468992
23	8388608	872601	2069.75	863232	906240
24	16777216	1.7397e+06	2888.17	1.71613e+06	1.77309e+06
25	33554432	3.46695e+06	5405.4	3.4345e+06	3.62282e+06
26	67108864	6.93055e+06	4288.17	6.90845e+06	7.10144e+06
27	134217728	1.38451e+07	5340.72	1.38135e+07	1.39946e+07
28	268435456	2.76663e+07	11376.1	2.76132e+07	2.79306e+07
