LogNumShots	NumShots	Mean_ns	CI95_ns	Min_ns	Max_ns
5	32	1357	480.32	500	14800
6	64	1817	422.253	900	15000
7	128	2538	427.901	1300	13800
8	256	4884	314.005	2300	8100
9	512	9205	270.775	4800	10100
10	1024	9245	362.782	6800	13300
11	2048	12922	316.906	7500	14500
12	4096	16335	1072.94	10300	66200
13	8192	17374	459.506	12800	21100
14	16384	24044	1349.58	17800	88600
15	32768	33517	433.829	27300	36900
16	65536	53464	453.461	46900	60500
17	131072	91874	163.929	87300	93500
18	262144	167891	468.002	163900	177100
19	524288	330728	3988.22	320000	452200
20	1048576	673200	2060.78	659900	732500
21	2097152	1.41842e+06	2385.18	1.4e+06	1.4773e+06
22	4194304	2.91617e+06	11355	2.864e+06	3.3289e+06
23	8388608	5.84354e+06	14208.7	5.7739e+06	6.2954e+06
24	16777216	1.18953e+07	18318.7	1.17917e+07	1.23722e+07
25	33554432	2.3823e+07	29771.1	2.36527e+07	2.45643e+07
26	67108864	4.76721e+07	86040.3	4.72162e+07	5.04255e+07
27	134217728	9.54066e+07	63544.6	9.46177e+07	9.65621e+07
28	268435456	1.90755e+08	126087	1.89464e+08	1.92455e+08
