LogNumShots	NumShots	Mean_ns	CI95_ns	Min_ns	Max_ns
5	32	43	9.75237	0	100
6	64	71	8.93854	0	100
7	128	132	9.18899	100	200
8	256	237	9.51064	200	300
9	512	473	9.17843	400	600
10	1024	975	12.5748	900	1300
11	2048	2054	18.1442	2000	2800
12	4096	4444	23.0265	4300	4900
13	8192	9521	246.326	9300	21900
14	16384	19981	21.8816	19700	20300
15	32768	43658	585.19	43200	73200
16	65536	86115	253.822	85700	98900
17	131072	175691	1918.4	172900	263300
18	262144	348350	999.142	347100	385800
19	524288	744487	3569.84	734000	819000
20	1048576	1.49914e+06	3322.5	1.4889e+06	1.5957e+06
21	2097152	3.01887e+06	3584.85	3.0043e+06	3.0896e+06
22	4194304	6.10318e+06	14159.5	6.0303e+06	6.3664e+06
23	8388608	1.22315e+07	23701.7	1.2101e+07	1.2733e+07
24	16777216	2.44054e+07	34860.4	2.42281e+07	2.49038e+07
25	33554432	4.88231e+07	50972.9	4.86134e+07	5.02234e+07
26	67108864	9.77865e+07	74682	9.72817e+07	9.90599e+07
27	134217728	1.95422e+08	90637.2	1.94769e+08	1.97386e+08
28	268435456	3.90968e+08	144621	3.89609e+08	3.93788e+08
