LogNumShots	NumShots	Mean_ns	CI95_ns	Min_ns	Max_ns
5	32	7132.8	32.9902	7040	7168
6	64	7228.8	205.577	6784	7904
7	128	7059.2	81.0791	6816	7168
8	256	7014.4	108.956	6752	7168
9	512	7190.4	199.667	6752	7776
10	1024	7155.2	133.607	6848	7680
11	2048	7126.4	214.036	6784	7744
12	4096	7548.8	787.682	6880	11104
13	8192	8825.6	2922.31	7072	22208
14	16384	8032	76.531	7808	8192
15	32768	8928	116.778	8704	9216
16	65536	11027.2	196.166	10240	11264
17	131072	21561.6	741.158	18432	22528
18	262144	34393.6	631.146	31744	35392
19	524288	63609.6	2411.74	59392	73600
20	1048576	115629	1277.09	111616	118784
21	2097152	226736	3638.09	220160	238144
22	4194304	438275	1537.84	433152	442368
23	8388608	915888	10887.4	870400	930816
24	16777216	1.73855e+06	8528.95	1.72419e+06	1.76938e+06
25	33554432	3.47622e+06	10286.5	3.45907e+06	3.52051e+06
26	67108864	6.90788e+06	10063.6	6.8935e+06	6.95091e+06
27	134217728	1.38393e+07	11858.4	1.38168e+07	1.38779e+07
28	268435456	2.77775e+07	119944	2.76224e+07	2.81801e+07
