LogNumShots	NumShots	Mean_ns	CI95_ns	Min_ns	Max_ns
32	1	1850	662.578	1100	4600
64	1	3510	883.064	1600	5900
128	1	5500	3657.03	2600	18200
256	1	6500	4819.28	2900	25700
512	1	7290	3514.11	3300	18500
1024	1	9020	3438.4	4300	17100
2048	1	14340	2945.54	7500	24300
4096	1	13170	1507.22	9700	16800
8192	1	18060	1812.03	12800	20900
16384	1	26850	1281.35	23500	29000
32768	1	41140	3127.44	37300	54900
65536	1	75620	7175.06	66000	98000
131072	1	119920	17342.9	99300	189100
262144	1	216090	5237.06	200800	232300
524288	1	406200	16033.1	367200	438900
1048576	1	967830	141590	765400	1.3272e+06
2097152	1	1.71274e+06	172567	1.5375e+06	2.2806e+06
4194304	1	3.54341e+06	167942	3.1131e+06	3.8946e+06
8388608	1	7.15631e+06	241775	6.9193e+06	7.9656e+06
16777216	1	1.43199e+07	249664	1.38897e+07	1.51457e+07
33554432	1	2.8079e+07	265031	2.73386e+07	2.87514e+07
67108864	1	5.05365e+07	356408	5.00841e+07	5.19718e+07
134217728	1	1.0071e+08	493101	9.98558e+07	1.0267e+08
268435456	1	2.01678e+08	1.10065e+06	1.99839e+08	2.0614e+08
