LogNumShots	NumShots	Mean_ns	CI95_ns	Min_ns	Max_ns
5	32	40	32.0067	0	100
6	64	60	32.0067	0	100
7	128	120	26.1333	100	200
8	256	250	32.6667	200	300
9	512	490	35.1831	400	600
10	1024	1070	51.027	1000	1200
11	2048	2240	59.879	2200	2500
12	4096	4740	165.797	4600	5400
13	8192	10380	164.764	10000	10900
14	16384	21170	167.971	20900	21800
15	32768	46430	5421.96	43200	71300
16	65536	88430	149.126	88200	89000
17	131072	181710	3621.19	178200	192800
18	262144	384190	14910	364100	439400
19	524288	774520	11939.3	761700	822900
20	1048576	1.94485e+06	608991	1.5339e+06	4.6489e+06
21	2097152	3.15688e+06	29770	3.113e+06	3.2349e+06
22	4194304	6.30383e+06	38258.8	6.2165e+06	6.3998e+06
23	8388608	1.28678e+07	186085	1.2551e+07	1.35884e+07
24	16777216	2.52736e+07	83224.5	2.51071e+07	2.55227e+07
25	33554432	5.07343e+07	203800	5.02791e+07	5.14063e+07
26	67108864	1.01437e+08	178455	1.00966e+08	1.01806e+08
27	134217728	2.02776e+08	260839	2.02064e+08	2.03331e+08
28	268435456	4.06674e+08	1.35439e+06	4.04693e+08	4.12424e+08
